date,gm,zone,name,stack,flag,picked_count
2026-07-07,Akash Sharma,North,JhunjhunuHub_JNJ_PL,MYE,Past,1
2026-07-07,Akash Sharma,North,JhunjhunuHub_JNJ_PL,MYE,Present,12
2026-07-07,Akash Sharma,North,JodhpurHub_JDH_PL,EXT,Future,534
2026-07-07,Akash Sharma,North,JodhpurHub_JDH_PL,EXT,Past,443
2026-07-07,Akash Sharma,North,JodhpurHub_JDH_PL,EXT,Present,868
2026-07-07,Akash Sharma,North,JodhpurHub_JDH_PL,FK,Future,580
2026-07-07,Akash Sharma,North,JodhpurHub_JDH_PL,FK,Past,2850
2026-07-07,Akash Sharma,North,JodhpurHub_JDH_PL,FK,Present,34769
2026-07-07,Akash Sharma,North,JodhpurHub_JDH_PL,MYE,Future,16
2026-07-07,Akash Sharma,North,JodhpurHub_JDH_PL,MYE,Past,51
2026-07-07,Akash Sharma,North,JodhpurHub_JDH_PL,MYE,Present,122
2026-07-07,Akash Sharma,North,KotaHub_KTU_PL,EXT,Future,21
2026-07-07,Akash Sharma,North,KotaHub_KTU_PL,EXT,Past,137
2026-07-07,Akash Sharma,North,KotaHub_KTU_PL,EXT,Present,282
2026-07-07,Akash Sharma,North,KotaHub_KTU_PL,FK,Future,175
2026-07-07,Akash Sharma,North,KotaHub_KTU_PL,FK,Past,563
2026-07-07,Akash Sharma,North,KotaHub_KTU_PL,FK,Present,7272
2026-07-07,Akash Sharma,North,KotaHub_KTU_PL,MYE,Future,3
2026-07-07,Akash Sharma,North,KotaHub_KTU_PL,MYE,Past,49
2026-07-07,Akash Sharma,North,KotaHub_KTU_PL,MYE,Present,95
2026-07-07,Akash Sharma,North,MakranaHub_MAK_PL,EXT,Future,1
2026-07-07,Akash Sharma,North,MakranaHub_MAK_PL,FK,Future,24
2026-07-07,Akash Sharma,North,MakranaHub_MAK_PL,FK,Past,1235
2026-07-07,Akash Sharma,North,MakranaHub_MAK_PL,FK,Present,1097
2026-07-07,Akash Sharma,North,MakranaHub_MAK_PL,MYE,Past,22
2026-07-07,Akash Sharma,North,MakranaHub_MAK_PL,MYE,Present,74
2026-07-07,Akash Sharma,North,MalviyaNagarhub_JAI_PL,EXT,Future,11
2026-07-07,Akash Sharma,North,MalviyaNagarhub_JAI_PL,EXT,Past,59
2026-07-07,Akash Sharma,North,MalviyaNagarhub_JAI_PL,EXT,Present,464
2026-07-07,Akash Sharma,North,MalviyaNagarhub_JAI_PL,FK,Future,594
2026-07-07,Akash Sharma,North,MalviyaNagarhub_JAI_PL,FK,Past,5295
2026-07-07,Akash Sharma,North,MalviyaNagarhub_JAI_PL,FK,Present,19380
2026-07-07,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYE,Future,58
2026-07-07,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYE,Past,512
2026-07-07,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYE,Present,1246
2026-07-07,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYS,Future,106
2026-07-07,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYS,Past,65
2026-07-07,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYS,Present,1982
2026-07-07,Akash Sharma,North,NAGAURODH_NGR_PL,FK,Future,2
2026-07-07,Akash Sharma,North,NAGAURODH_NGR_PL,FK,Past,90
2026-07-07,Akash Sharma,North,NAGAURODH_NGR_PL,FK,Present,181
2026-07-07,Akash Sharma,North,PaliHub_PAL_PL,EXT,Future,4
2026-07-07,Akash Sharma,North,PaliHub_PAL_PL,EXT,Past,2
2026-07-07,Akash Sharma,North,PaliHub_PAL_PL,EXT,Present,25
2026-07-07,Akash Sharma,North,PaliHub_PAL_PL,FK,Future,54
2026-07-07,Akash Sharma,North,PaliHub_PAL_PL,FK,Past,1194
2026-07-07,Akash Sharma,North,PaliHub_PAL_PL,FK,Present,2582
2026-07-07,Akash Sharma,North,PaliHub_PAL_PL,MYE,Future,1
2026-07-07,Akash Sharma,North,PaliHub_PAL_PL,MYE,Past,37
2026-07-07,Akash Sharma,North,PaliHub_PAL_PL,MYE,Present,70
2026-07-07,Akash Sharma,North,PilaniHub_PIL_PL,FK,Future,9
2026-07-07,Akash Sharma,North,PilaniHub_PIL_PL,FK,Past,3
2026-07-07,Akash Sharma,North,PilaniHub_PIL_PL,FK,Present,405
2026-07-07,Akash Sharma,North,PilaniHub_PIL_PL,MYE,Present,6
2026-07-07,Akash Sharma,North,ShyamnagarHub_JAI_PL,EXT,Present,3
2026-07-07,Akash Sharma,North,ShyamnagarHub_JAI_PL,FK,Future,2
2026-07-07,Akash Sharma,North,ShyamnagarHub_JAI_PL,FK,Past,31
2026-07-07,Akash Sharma,North,ShyamnagarHub_JAI_PL,FK,Present,1278
2026-07-07,Akash Sharma,North,ShyamnagarHub_JAI_PL,MYE,Past,86
2026-07-07,Akash Sharma,North,ShyamnagarHub_JAI_PL,MYE,Present,80
2026-07-07,Akash Sharma,North,ShyamnagarHub_JAI_PL,MYS,Present,94
2026-07-07,Akash Sharma,North,SikarHub_SIK_PL,EXT,Future,51
2026-07-07,Akash Sharma,North,SikarHub_SIK_PL,EXT,Present,517
2026-07-07,Akash Sharma,North,SikarHub_SIK_PL,FK,Future,7
2026-07-07,Akash Sharma,North,SikarHub_SIK_PL,FK,Past,513
2026-07-07,Akash Sharma,North,SikarHub_SIK_PL,FK,Present,895
2026-07-07,Akash Sharma,North,SikarHub_SIK_PL,MYE,Past,29
2026-07-07,Akash Sharma,North,SikarHub_SIK_PL,MYE,Present,5
2026-07-07,Akash Sharma,North,SitapuraHub_JAI_PL,EXT,Future,64
2026-07-07,Akash Sharma,North,SitapuraHub_JAI_PL,EXT,Past,85
2026-07-07,Akash Sharma,North,SitapuraHub_JAI_PL,EXT,Present,835
2026-07-07,Akash Sharma,North,SitapuraHub_JAI_PL,FK,Future,939
2026-07-07,Akash Sharma,North,SitapuraHub_JAI_PL,FK,Past,21190
2026-07-07,Akash Sharma,North,SitapuraHub_JAI_PL,FK,Present,88612
2026-07-07,Akash Sharma,North,SitapuraHub_JAI_PL,MYE,Future,167
2026-07-07,Akash Sharma,North,SitapuraHub_JAI_PL,MYE,Past,1810
2026-07-07,Akash Sharma,North,SitapuraHub_JAI_PL,MYE,Present,6160
2026-07-07,Akash Sharma,North,SitapuraHub_JAI_PL,MYS,Future,700
2026-07-07,Akash Sharma,North,SitapuraHub_JAI_PL,MYS,Past,894
2026-07-07,Akash Sharma,North,SitapuraHub_JAI_PL,MYS,Present,23100
2026-07-07,Akash Sharma,North,SriGanganagarHub_SGN_PL,EXT,Future,32
2026-07-07,Akash Sharma,North,SriGanganagarHub_SGN_PL,EXT,Present,27
2026-07-07,Akash Sharma,North,SriGanganagarHub_SGN_PL,FK,Future,65
2026-07-07,Akash Sharma,North,SriGanganagarHub_SGN_PL,FK,Past,270
2026-07-07,Akash Sharma,North,SriGanganagarHub_SGN_PL,FK,Present,1441
2026-07-07,Akash Sharma,North,SriGanganagarHub_SGN_PL,MYE,Past,6
2026-07-07,Akash Sharma,North,SriGanganagarHub_SGN_PL,MYE,Present,8
2026-07-07,Akash Sharma,North,TTSPLGANGAPURODH_GAG_PL,FK,Future,90
2026-07-07,Akash Sharma,North,TTSPLGANGAPURODH_GAG_PL,FK,Present,36
2026-07-07,Akash Sharma,North,UdaipurHub_UDR_PL,EXT,Future,17
2026-07-07,Akash Sharma,North,UdaipurHub_UDR_PL,EXT,Past,6
