date,gm,zone,name,stack,flag,picked_count
2026-05-01,Akash Sharma,North,PaliHub_PAL_PL,FK,Future,105
2026-05-01,Akash Sharma,North,PaliHub_PAL_PL,FK,Past,141
2026-05-01,Akash Sharma,North,PaliHub_PAL_PL,FK,Present,2518
2026-05-01,Akash Sharma,North,PaliHub_PAL_PL,MYE,Future,12
2026-05-01,Akash Sharma,North,PaliHub_PAL_PL,MYE,Present,56
2026-05-01,Akash Sharma,North,PilaniHub_PIL_PL,FK,Future,5
2026-05-01,Akash Sharma,North,PilaniHub_PIL_PL,FK,Past,12
2026-05-01,Akash Sharma,North,PilaniHub_PIL_PL,FK,Present,138
2026-05-01,Akash Sharma,North,ShyamnagarHub_JAI_PL,FK,Present,1328
2026-05-01,Akash Sharma,North,ShyamnagarHub_JAI_PL,MYE,Future,33
2026-05-01,Akash Sharma,North,ShyamnagarHub_JAI_PL,MYE,Past,1
2026-05-01,Akash Sharma,North,SikarHub_SIK_PL,EXT,Future,2
2026-05-01,Akash Sharma,North,SikarHub_SIK_PL,EXT,Past,88
2026-05-01,Akash Sharma,North,SikarHub_SIK_PL,EXT,Present,486
2026-05-01,Akash Sharma,North,SikarHub_SIK_PL,FK,Future,57
2026-05-01,Akash Sharma,North,SikarHub_SIK_PL,FK,Past,7
2026-05-01,Akash Sharma,North,SikarHub_SIK_PL,FK,Present,733
2026-05-01,Akash Sharma,North,SikarHub_SIK_PL,MYE,Present,3
2026-05-01,Akash Sharma,North,SitapuraHub_JAI_PL,EXT,Future,216
2026-05-01,Akash Sharma,North,SitapuraHub_JAI_PL,EXT,Past,239
2026-05-01,Akash Sharma,North,SitapuraHub_JAI_PL,EXT,Present,867
2026-05-01,Akash Sharma,North,SitapuraHub_JAI_PL,FK,Future,3334
2026-05-01,Akash Sharma,North,SitapuraHub_JAI_PL,FK,Past,2066
2026-05-01,Akash Sharma,North,SitapuraHub_JAI_PL,FK,Present,92365
2026-05-01,Akash Sharma,North,SitapuraHub_JAI_PL,MYE,Future,254
2026-05-01,Akash Sharma,North,SitapuraHub_JAI_PL,MYE,Past,7
2026-05-01,Akash Sharma,North,SitapuraHub_JAI_PL,MYE,Present,1536
2026-05-01,Akash Sharma,North,SitapuraHub_JAI_PL,MYS,Future,126
2026-05-01,Akash Sharma,North,SitapuraHub_JAI_PL,MYS,Past,11
2026-05-01,Akash Sharma,North,SitapuraHub_JAI_PL,MYS,Present,3802
2026-05-01,Akash Sharma,North,SriGanganagarHub_SGN_PL,EXT,Future,1
2026-05-01,Akash Sharma,North,SriGanganagarHub_SGN_PL,EXT,Past,1
2026-05-01,Akash Sharma,North,SriGanganagarHub_SGN_PL,EXT,Present,3
2026-05-01,Akash Sharma,North,SriGanganagarHub_SGN_PL,FK,Future,62
2026-05-01,Akash Sharma,North,SriGanganagarHub_SGN_PL,FK,Past,1
2026-05-01,Akash Sharma,North,SriGanganagarHub_SGN_PL,FK,Present,1240
2026-05-01,Akash Sharma,North,SriGanganagarHub_SGN_PL,MYE,Future,14
2026-05-01,Akash Sharma,North,SriGanganagarHub_SGN_PL,MYE,Present,10
2026-05-01,Akash Sharma,North,TTSPLGANGAPURODH_GAG_PL,FK,Future,1
2026-05-01,Akash Sharma,North,TTSPLGANGAPURODH_GAG_PL,FK,Past,9
2026-05-01,Akash Sharma,North,TTSPLGANGAPURODH_GAG_PL,FK,Present,23
2026-05-01,Akash Sharma,North,UdaipurHub_UDR_PL,EXT,Future,18
2026-05-01,Akash Sharma,North,UdaipurHub_UDR_PL,EXT,Past,8
2026-05-01,Akash Sharma,North,UdaipurHub_UDR_PL,EXT,Present,110
2026-05-01,Akash Sharma,North,UdaipurHub_UDR_PL,FK,Future,39
2026-05-01,Akash Sharma,North,UdaipurHub_UDR_PL,FK,Past,35
2026-05-01,Akash Sharma,North,UdaipurHub_UDR_PL,FK,Present,1953
2026-05-01,Akash Sharma,North,UdaipurHub_UDR_PL,MYE,Future,34
2026-05-01,Akash Sharma,North,UdaipurHub_UDR_PL,MYE,Past,5
2026-05-01,Akash Sharma,North,UdaipurHub_UDR_PL,MYE,Present,99
2026-05-01,Akash Sharma,North,VKIAHub_JAI_PL,EXT,Future,169
2026-05-01,Akash Sharma,North,VKIAHub_JAI_PL,EXT,Past,155
2026-05-01,Akash Sharma,North,VKIAHub_JAI_PL,EXT,Present,739
2026-05-01,Akash Sharma,North,VKIAHub_JAI_PL,FK,Future,2081
2026-05-01,Akash Sharma,North,VKIAHub_JAI_PL,FK,Past,1096
2026-05-01,Akash Sharma,North,VKIAHub_JAI_PL,FK,Present,77126
2026-05-01,Akash Sharma,North,VKIAHub_JAI_PL,MYE,Future,23
2026-05-01,Akash Sharma,North,VKIAHub_JAI_PL,MYE,Past,19
2026-05-01,Akash Sharma,North,VKIAHub_JAI_PL,MYE,Present,116
2026-05-01,Akash Sharma,North,VKIAHub_JAI_PL,MYS,Past,25
2026-05-01,Akash Sharma,North,VKIAHub_JAI_PL,MYS,Present,337
2026-05-01,Amitava Dutta,East,ADITYAPURHUB_IXW_PL,EXT,Past,1
2026-05-01,Amitava Dutta,East,ADITYAPURHUB_IXW_PL,EXT,Present,13
2026-05-01,Amitava Dutta,East,ADITYAPURHUB_IXW_PL,FK,Future,62
2026-05-01,Amitava Dutta,East,ADITYAPURHUB_IXW_PL,FK,Past,1
2026-05-01,Amitava Dutta,East,ADITYAPURHUB_IXW_PL,FK,Present,172
2026-05-01,Amitava Dutta,East,ADITYAPURHUB_IXW_PL,MYE,Future,2
2026-05-01,Amitava Dutta,East,ADITYAPURHUB_IXW_PL,MYE,Present,2
2026-05-01,Amitava Dutta,East,ANISHABADHUB_PAT_PL,FK,Future,107
2026-05-01,Amitava Dutta,East,ANISHABADHUB_PAT_PL,FK,Past,17
2026-05-01,Amitava Dutta,East,ANISHABADHUB_PAT_PL,FK,Present,163
2026-05-01,Amitava Dutta,East,ArrahHub_ARH_PL,EXT,Future,3
2026-05-01,Amitava Dutta,East,ArrahHub_ARH_PL,EXT,Present,5
2026-05-01,Amitava Dutta,East,ArrahHub_ARH_PL,FK,Future,19
2026-05-01,Amitava Dutta,East,ArrahHub_ARH_PL,FK,Past,1
2026-05-01,Amitava Dutta,East,ArrahHub_ARH_PL,FK,Present,142
2026-05-01,Amitava Dutta,East,ArrahHub_ARH_PL,MYE,Future,1
2026-05-01,Amitava Dutta,East,ArrahHub_ARH_PL,MYE,Present,6
2026-05-01,Amitava Dutta,East,AshokNagarHub_PAT_PL,EXT,Past,6
2026-05-01,Amitava Dutta,East,AshokNagarHub_PAT_PL,FK,Future,38
2026-05-01,Amitava Dutta,East,AshokNagarHub_PAT_PL,FK,Past,2
