date,gm,zone,name,stack,flag,picked_count,MH
07-08-2026,Akash Sharma,North,IDENTIFYPLUSSHAHPURAODH_SHA_PL,FK,Past,13,NA
07-08-2026,Akash Sharma,North,IDENTIFYPLUSSHAHPURAODH_SHA_PL,FK,Present,1131,NA
07-08-2026,Akash Sharma,North,IdentifyPlusTonkODH_TNK_PL,EXT,Future,2,NA
07-08-2026,Akash Sharma,North,IdentifyPlusTonkODH_TNK_PL,FK,Future,1,NA
07-08-2026,Akash Sharma,North,IdentifyPlusTonkODH_TNK_PL,FK,Past,6,NA
07-08-2026,Akash Sharma,North,IdentifyPlusTonkODH_TNK_PL,FK,Present,58,NA
07-08-2026,Akash Sharma,North,JaipurHub_JAI_PL,EXT,Future,130,NA
07-08-2026,Akash Sharma,North,JaipurHub_JAI_PL,EXT,Past,95,NA
07-08-2026,Akash Sharma,North,JaipurHub_JAI_PL,EXT,Present,602,NA
07-08-2026,Akash Sharma,North,JaipurHub_JAI_PL,FK,Future,1871,NA
07-08-2026,Akash Sharma,North,JaipurHub_JAI_PL,FK,Past,520,NA
07-08-2026,Akash Sharma,North,JaipurHub_JAI_PL,FK,Present,72430,NA
07-08-2026,Akash Sharma,North,JaipurHub_JAI_PL,MYE,Future,1718,NA
07-08-2026,Akash Sharma,North,JaipurHub_JAI_PL,MYE,Past,48,NA
07-08-2026,Akash Sharma,North,JaipurHub_JAI_PL,MYE,Present,4712,NA
07-08-2026,Akash Sharma,North,JaipurHub_JAI_PL,MYS,Future,1161,NA
07-08-2026,Akash Sharma,North,JaipurHub_JAI_PL,MYS,Past,107,NA
07-08-2026,Akash Sharma,North,JaipurHub_JAI_PL,MYS,Present,18602,NA
07-08-2026,Akash Sharma,North,JhunjhunuHub_JNJ_PL,EXT,Past,4,NA
07-08-2026,Akash Sharma,North,JhunjhunuHub_JNJ_PL,EXT,Present,20,NA
07-08-2026,Akash Sharma,North,JhunjhunuHub_JNJ_PL,FK,Future,3,NA
07-08-2026,Akash Sharma,North,JhunjhunuHub_JNJ_PL,FK,Past,6,NA
07-08-2026,Akash Sharma,North,JhunjhunuHub_JNJ_PL,FK,Present,113,NA
07-08-2026,Akash Sharma,North,JhunjhunuHub_JNJ_PL,MYE,Future,1,NA
07-08-2026,Akash Sharma,North,JhunjhunuHub_JNJ_PL,MYE,Present,19,NA
07-08-2026,Akash Sharma,North,JodhpurHub_JDH_PL,EXT,Future,46,NA
07-08-2026,Akash Sharma,North,JodhpurHub_JDH_PL,EXT,Past,65,NA
07-08-2026,Akash Sharma,North,JodhpurHub_JDH_PL,EXT,Present,204,NA
07-08-2026,Akash Sharma,North,JodhpurHub_JDH_PL,FK,Future,1099,NA
07-08-2026,Akash Sharma,North,JodhpurHub_JDH_PL,FK,Past,618,NA
07-08-2026,Akash Sharma,North,JodhpurHub_JDH_PL,FK,Present,32237,NA
07-08-2026,Akash Sharma,North,JodhpurHub_JDH_PL,MYE,Future,27,NA
07-08-2026,Akash Sharma,North,JodhpurHub_JDH_PL,MYE,Past,66,NA
07-08-2026,Akash Sharma,North,JodhpurHub_JDH_PL,MYE,Present,69,NA
07-08-2026,Akash Sharma,North,KotaHub_KTU_PL,EXT,Future,51,NA
07-08-2026,Akash Sharma,North,KotaHub_KTU_PL,EXT,Past,18,NA
07-08-2026,Akash Sharma,North,KotaHub_KTU_PL,EXT,Present,212,NA
07-08-2026,Akash Sharma,North,KotaHub_KTU_PL,FK,Future,159,NA
07-08-2026,Akash Sharma,North,KotaHub_KTU_PL,FK,Past,124,NA
07-08-2026,Akash Sharma,North,KotaHub_KTU_PL,FK,Present,8494,NA
07-08-2026,Akash Sharma,North,KotaHub_KTU_PL,MYE,Future,84,NA
07-08-2026,Akash Sharma,North,KotaHub_KTU_PL,MYE,Past,9,NA
07-08-2026,Akash Sharma,North,KotaHub_KTU_PL,MYE,Present,109,NA
07-08-2026,Akash Sharma,North,MakranaHub_MAK_PL,FK,Future,154,NA
07-08-2026,Akash Sharma,North,MakranaHub_MAK_PL,FK,Past,125,NA
07-08-2026,Akash Sharma,North,MakranaHub_MAK_PL,FK,Present,1482,NA
07-08-2026,Akash Sharma,North,MakranaHub_MAK_PL,MYE,Future,22,NA
07-08-2026,Akash Sharma,North,MakranaHub_MAK_PL,MYE,Present,71,NA
07-08-2026,Akash Sharma,North,MalviyaNagarhub_JAI_PL,EXT,Future,11,NA
07-08-2026,Akash Sharma,North,MalviyaNagarhub_JAI_PL,EXT,Past,30,NA
07-08-2026,Akash Sharma,North,MalviyaNagarhub_JAI_PL,EXT,Present,173,NA
07-08-2026,Akash Sharma,North,MalviyaNagarhub_JAI_PL,FK,Future,1680,NA
07-08-2026,Akash Sharma,North,MalviyaNagarhub_JAI_PL,FK,Past,162,NA
07-08-2026,Akash Sharma,North,MalviyaNagarhub_JAI_PL,FK,Present,23953,NA
07-08-2026,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYE,Future,634,NA
07-08-2026,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYE,Past,23,NA
07-08-2026,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYE,Present,1139,NA
